pdf_link	date	title	broker_name	file_name	content_file
https://ssl.pstatic.net/imgstock/upload/research/debenture/1702337819149.pdf	23.12.12	Eugenes FICC Update	유진투자증권	23.12.12_1702337819149.pdf	23.12.12_1702337819149.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1702337191531.pdf	23.12.12	단기자금 활성화와 유동성 장세	유안타증권	23.12.12_1702337191531.pdf	23.12.12_1702337191531.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1702336931600.pdf	23.12.12	채권 Daily (12.12)	유안타증권	23.12.12_1702336931600.pdf	23.12.12_1702336931600.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1702271051068.pdf	23.12.11	금리 레벨보다 data-dependent 관점으로 대응 필요	미래에셋증권	23.12.11_1702271051068.pdf	23.12.11_1702271051068.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1702270890525.pdf	23.12.11	설익은 조기 금리 인하 기대	신한투자증권	23.12.11_1702270890525.pdf	23.12.11_1702270890525.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1702257324778.pdf	23.12.11	Daily Bond Morning Brief(2023.12.11)	다올투자증권	23.12.11_1702257324778.pdf	23.12.11_1702257324778.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1702256260140.pdf	23.12.11	[한화 FI Weekly] FOMC Preview: 견제구	한화투자증권	23.12.11_1702256260140.pdf	23.12.11_1702256260140.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1702256179559.pdf	23.12.11	미국 채권시장, 예상보다 견조한 미 11월 비농업고용..	교보증권	23.12.11_1702256179559.pdf	23.12.11_1702256179559.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1702252729276.pdf	23.12.11	12/11 Kiwoom Fixed Income Weekly Review	키움증권	23.12.11_1702252729276.pdf	23.12.11_1702252729276.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1702252604394.pdf	23.12.11	Eugenes FICC Update	유진투자증권	23.12.11_1702252604394.pdf	23.12.11_1702252604394.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1702252522039.pdf	23.12.11	조정 국면에 접어들 정당성 확보	IBK투자증권	23.12.11_1702252522039.pdf	23.12.11_1702252522039.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1702252180467.pdf	23.12.11	12/11 KIWOOM ESG Weekly	키움증권	23.12.11_1702252180467.pdf	23.12.11_1702252180467.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1702251794477.pdf	23.12.11	채권 Daily (12.11)	유안타증권	23.12.11_1702251794477.pdf	23.12.11_1702251794477.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1702249457668.pdf	23.12.11	신한 Bond.Zip (12월 8일)	신한투자증권	23.12.11_1702249457668.pdf	23.12.11_1702249457668.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1701997462451.pdf	23.12.08	유로존, 집중되는 인하 희망	신한투자증권	23.12.08_1701997462451.pdf	23.12.08_1701997462451.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1701994680290.pdf	23.12.08	[한화 Fed Monitor] 연준 대차대조표 뜯어보기 - 36	한화투자증권	23.12.08_1701994680290.pdf	23.12.08_1701994680290.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1701992952238.pdf	23.12.08	채권 Daily (12.08)	유안타증권	23.12.08_1701992952238.pdf	23.12.08_1701992952238.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1701992632127.pdf	23.12.08	Daily Bond Morning Brief(2023.12.08)	다올투자증권	23.12.08_1701992632127.pdf	23.12.08_1701992632127.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1701992242109.pdf	23.12.08	Eugenes FICC Update	유진투자증권	23.12.08_1701992242109.pdf	23.12.08_1701992242109.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1701991589901.pdf	23.12.08	12월 FOMC Preview: 인하 기대 차단할까	키움증권	23.12.08_1701991589901.pdf	23.12.08_1701991589901.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1701908366541.pdf	23.12.07	11월 한국 소비자물가, 다행히 상승률 반락	이베스트증권	23.12.07_1701908366541.pdf	23.12.07_1701908366541.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1701907597595.pdf	23.12.07	Daily Bond Morning Brief(2023.12.07)	다올투자증권	23.12.07_1701907597595.pdf	23.12.07_1701907597595.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1701905971709.pdf	23.12.07	Eugenes FICC Update	유진투자증권	23.12.07_1701905971709.pdf	23.12.07_1701905971709.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1701904851386.pdf	23.12.07	채권 Daily (12.07)	유안타증권	23.12.07_1701904851386.pdf	23.12.07_1701904851386.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1701821704553.pdf	23.12.06	국내 채권시장, 국내 소비자물가지수 둔화에 강세	교보증권	23.12.06_1701821704553.pdf	23.12.06_1701821704553.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1701821511258.pdf	23.12.06	Credit Letter	교보증권	23.12.06_1701821511258.pdf	23.12.06_1701821511258.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1701821407104.pdf	23.12.06	연말정산 장세	하나증권	23.12.06_1701821407104.pdf	23.12.06_1701821407104.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1701820302592.pdf	23.12.06	Daily Bond Morning Brief(2023.12.06)	다올투자증권	23.12.06_1701820302592.pdf	23.12.06_1701820302592.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1701819841469.pdf	23.12.06	채권 Daily (12.06)	유안타증권	23.12.06_1701819841469.pdf	23.12.06_1701819841469.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1701819773376.pdf	23.12.06	Eugenes FICC Update	유진투자증권	23.12.06_1701819773376.pdf	23.12.06_1701819773376.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1701819522282.pdf	23.12.06	연준 긴축에 힘 싣는 레버리지론 시장 조정	신한투자증권	23.12.06_1701819522282.pdf	23.12.06_1701819522282.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1701734467300.pdf	23.12.05	펀더멘털을 고려해봐야할 때	한화투자증권	23.12.05_1701734467300.pdf	23.12.05_1701734467300.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1701734350167.pdf	23.12.05	미국 채권시장, 과도한 쏠림에 대한 경계로 되돌림	교보증권	23.12.05_1701734350167.pdf	23.12.05_1701734350167.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1701734062612.pdf	23.12.05	고난이도 보험성 금리 인하	신한투자증권	23.12.05_1701734062612.pdf	23.12.05_1701734062612.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1701733059246.pdf	23.12.05	Eugenes FICC Update	유진투자증권	23.12.05_1701733059246.pdf	23.12.05_1701733059246.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1701732955986.pdf	23.12.05	채권 Daily (12.05)	유안타증권	23.12.05_1701732955986.pdf	23.12.05_1701732955986.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1701732788396.pdf	23.12.05	Daily Bond Morning Brief(2023.12.05)	다올투자증권	23.12.05_1701732788396.pdf	23.12.05_1701732788396.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1701652749437.pdf	23.12.04	거스를 수 없는 중력의 힘	교보증권	23.12.04_1701652749437.pdf	23.12.04_1701652749437.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1701652666888.pdf	23.12.04	미국 채권시장, 파월 연준의장 발언이 비둘기파적으로..	교보증권	23.12.04_1701652666888.pdf	23.12.04_1701652666888.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1701652487577.pdf	23.12.04	4Q, 경기 과열 진정 시그널	하나증권	23.12.04_1701652487577.pdf	23.12.04_1701652487577.txt
https://ssl.pstatic.net/imgstock/upload/research/debenture/1701649255278.pdf	23.12.04	채권 Daily (12.04)	유안타증권	23.12.04_1701649255278.pdf	23.12.04_1701649255278.txt
